Rise,Set
7/20/2012 7:05,7/19/2012 20:09
7/21/2012 8:07,7/20/2012 21:04
7/22/2012 9:00,7/21/2012 21:08
7/23/2012 10:03,7/22/2012 22:00
7/24/2012 11:08,7/23/2012 22:03
7/25/2012 13:04,7/24/2012 23:08
7/26/2012 14:01,7/26/2012 0:06
7/27/2012 15:09,7/27/2012 0:09
7/28/2012 16:04,7/28/2012 1:09
7/29/2012 17:05,7/29/2012 2:05
7/30/2012 18:00,7/30/2012 3:06
7/31/2012 19:09,7/31/2012 4:02
8/1/2012 19:01,8/1/2012 5:00
8/2/2012 20:08,8/2/2012 6:07
8/3/2012 21:02,8/3/2012 8:01
8/4/2012 21:04,8/4/2012 9:04
8/5/2012 22:04,8/5/2012 10:04
8/6/2012 22:05,8/6/2012 11:03
8/7/2012 23:07,8/7/2012 12:01
8/8/2012 23:02,8/8/2012 12:07
8/10/2012 0:00,8/9/2012 13:03
8/11/2012 1:01,8/10/2012 14:07
8/12/2012 1:08,8/11/2012 15:09
8/13/2012 2:09,8/12/2012 16:09
8/14/2012 3:04,8/13/2012 17:05
8/15/2012 4:02,8/14/2012 17:07
8/16/2012 5:03,8/15/2012 18:07
8/17/2012 6:05,8/16/2012 19:03
8/18/2012 7:09,8/17/2012 19:08
8/19/2012 8:04,8/18/2012 20:01
8/20/2012 9:09,8/19/2012 20:05
8/21/2012 10:06,8/20/2012 21:00
8/22/2012 12:04,8/21/2012 22:08
8/23/2012 13:01,8/22/2012 22:00
8/24/2012 14:06,8/23/2012 23:07
8/25/2012 15:08,8/25/2012 0:00
8/26/2012 16:04,8/26/2012 1:08
8/27/2012 17:03,8/27/2012 2:01
8/28/2012 17:07,8/28/2012 3:06
8/29/2012 18:05,8/29/2012 4:02
8/30/2012 19:00,8/30/2012 5:06
8/31/2012 19:02,8/31/2012 6:09
9/1/2012 20:04,9/1/2012 7:00
9/2/2012 20:05,9/2/2012 8:00
9/3/2012 21:07,9/3/2012 9:08
9/4/2012 21:01,9/4/2012 10:06
9/5/2012 22:07,9/5/2012 11:02
9/6/2012 22:07,9/6/2012 12:07
9/7/2012 23:01,9/7/2012 13:00
9/9/2012 0:00,9/8/2012 14:00
9/10/2012 1:02,9/9/2012 15:07
9/11/2012 2:09,9/10/2012 15:01
9/12/2012 3:08,9/11/2012 16:01
9/13/2012 4:09,9/12/2012 17:09
9/14/2012 5:02,9/13/2012 17:04
9/15/2012 6:07,9/14/2012 18:09
9/16/2012 7:04,9/15/2012 18:03
9/17/2012 8:02,9/16/2012 19:08
9/18/2012 9:01,9/17/2012 20:06
9/19/2012 11:01,9/18/2012 20:08
9/20/2012 12:08,9/19/2012 21:04
9/21/2012 13:02,9/20/2012 22:07
9/22/2012 14:09,9/21/2012 23:04
9/23/2012 15:00,9/23/2012 0:06
9/24/2012 15:05,9/24/2012 1:09
9/25/2012 16:05,9/25/2012 2:04
9/26/2012 17:00,9/26/2012 3:07
9/27/2012 17:03,9/27/2012 4:09
9/28/2012 18:04,9/28/2012 5:00
9/29/2012 18:05,9/29/2012 6:09
9/30/2012 19:06,9/30/2012 7:07
10/1/2012 19:00,10/1/2012 8:05
10/2/2012 20:05,10/2/2012 9:02
10/3/2012 20:04,10/3/2012 10:07
10/4/2012 21:07,10/4/2012 11:01
10/5/2012 22:03,10/5/2012 12:02
10/6/2012 23:04,10/6/2012 13:00
10/8/2012 0:07,10/7/2012 13:04
10/9/2012 1:04,10/8/2012 14:05
10/10/2012 2:03,10/9/2012 15:03
10/11/2012 3:04,10/10/2012 15:09
10/12/2012 4:07,10/11/2012 16:03
10/13/2012 5:03,10/12/2012 16:07
10/14/2012 6:00,10/13/2012 17:02
10/15/2012 7:00,10/14/2012 18:00
10/16/2012 8:01,10/15/2012 18:00
10/17/2012 9:02,10/16/2012 19:06
10/18/2012 11:00,10/17/2012 20:08
10/19/2012 12:02,10/18/2012 21:05
10/20/2012 12:07,10/19/2012 22:07
10/21/2012 13:04,10/20/2012 23:02
10/22/2012 14:05,10/22/2012 0:07
10/23/2012 15:02,10/23/2012 1:01
10/24/2012 15:05,10/24/2012 2:03
10/25/2012 16:06,10/25/2012 3:03
10/26/2012 16:07,10/26/2012 4:02
10/27/2012 17:08,10/27/2012 5:00
10/28/2012 17:00,10/28/2012 6:07
10/29/2012 18:05,10/29/2012 7:04
10/30/2012 18:02,10/30/2012 8:00
10/31/2012 19:04,10/31/2012 9:04
11/1/2012 20:09,11/1/2012 10:06
11/2/2012 21:08,11/2/2012 10:05
11/3/2012 22:00,11/3/2012 11:00
11/4/2012 21:05,11/4/2012 11:02
11/5/2012 22:01,11/5/2012 12:00
11/6/2012 23:00,11/6/2012 12:06
11/8/2012 0:00,11/7/2012 13:00
11/9/2012 1:02,11/8/2012 13:03
11/10/2012 2:07,11/9/2012 14:06
11/11/2012 4:05,11/10/2012 14:01
11/12/2012 5:05,11/11/2012 15:00
11/13/2012 6:07,11/12/2012 16:03
11/14/2012 7:08,11/13/2012 17:02
11/15/2012 8:05,11/14/2012 17:08
11/16/2012 9:05,11/15/2012 19:00
11/17/2012 10:08,11/16/2012 20:07
11/18/2012 11:03,11/17/2012 21:05
11/19/2012 12:02,11/18/2012 22:01
11/20/2012 12:07,11/19/2012 23:05
11/21/2012 13:09,11/21/2012 0:07
11/22/2012 13:00,11/22/2012 1:07
11/23/2012 14:00,11/23/2012 2:05
11/24/2012 14:02,11/24/2012 3:02
11/25/2012 15:05,11/25/2012 4:08
11/26/2012 15:02,11/26/2012 5:04
11/27/2012 16:02,11/27/2012 6:08
11/28/2012 17:06,11/28/2012 7:01
11/29/2012 18:04,11/29/2012 7:02
11/30/2012 18:05,11/30/2012 8:08
12/1/2012 19:09,12/1/2012 9:01
12/2/2012 20:05,12/2/2012 10:01
12/3/2012 21:02,12/3/2012 10:07
12/4/2012 22:00,12/4/2012 11:00
12/5/2012 23:09,12/5/2012 11:03
12/7/2012 0:01,12/6/2012 12:05
12/8/2012 1:05,12/7/2012 12:08
12/9/2012 2:01,12/8/2012 13:03
12/10/2012 4:00,12/9/2012 14:02
12/11/2012 5:01,12/10/2012 14:06
12/12/2012 6:00,12/11/2012 15:08
12/13/2012 7:05,12/12/2012 16:07
12/14/2012 8:03,12/13/2012 17:02
12/15/2012 9:04,12/14/2012 18:02
12/16/2012 9:07,12/15/2012 20:02
12/17/2012 10:05,12/16/2012 21:00
12/18/2012 11:09,12/17/2012 22:05
12/19/2012 11:01,12/18/2012 23:07
12/20/2012 12:03,12/20/2012 0:07
12/21/2012 12:04,12/21/2012 1:05
12/22/2012 13:07,12/22/2012 2:02
12/23/2012 13:02,12/23/2012 3:08
12/24/2012 14:01,12/24/2012 4:03
12/25/2012 15:03,12/25/2012 4:06
12/26/2012 16:00,12/26/2012 5:07
12/27/2012 16:00,12/27/2012 6:06
12/28/2012 17:03,12/28/2012 7:00
12/29/2012 18:09,12/29/2012 8:01
12/30/2012 19:06,12/30/2012 8:09
12/31/2012 20:04,12/31/2012 9:03
